"3-D MAN/CHARLES CHAN";"3-D MAN"
MANDARIN;MANDARIN
"MANDRILL/HENSLEY FAR";MANDRILL
MANELLI,DINO;MANDRILL
MANTA;MANTA
"MANTIS/? BRANDT";MANTIS
MANTLO,BILL;MANTIS
MANTONE,JORGE;MANTIS
"MARROW/SARAH ";MARROW
MARRS(-PAYNE),PHOEB;MARROW
MARRS,DESMOND;MARROW
MARSHALL,GRANT;MARROW
"MARTELL,SHIELD AGEN";MARROW
"MARVEL BOY/MARTIN BU";"MARVEL BOY"
MASQUE;MASQUE
"MASTER MOLD";"MASTER MOLD"
"MASTERMIND/JASON WYN";MASTERMIND
"MASTERS,ALICIA REIS";MASTERMIND
"MASTERS,DR. AUGUST";MASTERMIND
MASTERSON,KEVIN;MASTERMIND
"MATHEMANIC/THOMAS SO";MATHEMANIC
"MAULER/BRENDAN DOYLE";MAULER
"MEDUSA/MEDUSALITH AM";MEDUSA
MEGGAN;MEGGAN
MENTALLO;MENTALLO
"MENTOR/ALARS [ETERNA";MENTOR
MEPHISTO;MEPHISTO
MERCURY;MERCURY
MESMERO;MESMERO
METEORITE;METEORITE
"MICROCHIP/LINUS LIEB";MICROCHIP
"MICROMAX/SCOTT WRIGH";MICROMAX
"MIMIC/CALVIN RANKIN";MIMIC
"MINDWORM/WILLIAM TUR";MINDWORM
"MISS AMERICA/MADELIN";"MISS AMERICA"
"MOCKINGBIRD/DR. BARB";MOCKINGBIRD
MOJO;MOJO
"MOLE MAN/HARVEY RUPE";"MOLE MAN"
"MOLECULE MAN/OWEN RE";"MOLECULE MAN"
"MOLTEN MAN/MARK RAXT";"MOLTEN MAN"
MONGOOSE;MONGOOSE
"MOON KNIGHT/MARC SPE";"MOON KNIGHT"
"MOONDRAGON/HEATHER D";MOONDRAGON
"MOONSTONE/LLOYD BLOC";MOONSTONE
MOORE,CONNIE;MOONSTONE
MOORE,TONI;MOONSTONE
"MORBIUS/DR. MICHAEL ";MORBIUS
MORDO,ASTRID;MORBIUS
MORG;MORG
MORLUN;MORLUN
MORPH;MORPH
"MR. FANTASTIC/REED R";"MR. FANTASTIC"
"MR. IMMORTAL";"MR. IMMORTAL"
"MR. PAYBACK/";"MR. PAYBACK"
"MR. X";"MR. X"
"MULTIPLE MAN/JAMES A";"MULTIPLE MAN"
MUMM,MAX;"MULTIPLE MAN"
MUNDY,SHANE;"MULTIPLE MAN"
"MYSTERIO/QUENTIN BEC";MYSTERIO
"MYSTIQUE/RAVEN DARKH";MYSTIQUE
"NAMORA/AQUARIA NAUTI";NAMORA
"NAMORITA/NITA PRENTI";NAMORITA
NEBULA;NEBULA
"NEKRA/ADRIENNE HATRO";NEKRA
NEMESIS;NEMESIS
"NIGHT THRASHER/DUANE";"NIGHT THRASHER"
"NIGHTCRAWLER/KURT WA";NIGHTCRAWLER
"NIGHTHAWK/KYLE RICHM";NIGHTHAWK
"NIGHTMARE/EDVARD HAB";NIGHTMARE
NIGHTSHADE/TILDA;NIGHTSHADE
