4EX;4 (EARTH X)
DOCSAM;DOC SAMSON
DOCSAM2;DOC SAMSON VOL. 2
DOCSAV;DOC SAVAGE
DOCSAV2;DOC SAVAGE VOL. 2 (MAGAZINE)
DOD;DAUGHTERS OF THE DRAGON
DOMINO;DOMINO
DOMINO2;DOMINO VOL. 2
DON;DEAD OF NIGHT
DOOM;DOOM
DOOM:ER;DOOM: EMPEROR RETURNS
DOOM2099;DOOM 2099
DOOMWAR;DOOMWAR
DP;DEADPOOL
DP2;DEADPOOL VOL. 2
DP3;DEADPOOL VOL. 3
DP4;DEADPOOL VOL. 4
DP5;DEADPOOL VOL. 5
DP&C;DEADPOOL & CABLE
DP/DEATH;DEADPOOL/DEATH
DP/GLI:SUMF;DEADPOOL/GLI SUMMER FUN SPECTACULAR
DP:GOD;DEADPOOL: GAME$ OF DEATH
DP:MERC;DEADPOOL: MERC WITH A MOUTH
DP:SK;DEADPOOL: SUICIDE KINGS
DPB;DEADPOOL BI-
DPCORPS;DEADPOOL CORPS
DPF;DEADPOOL FAMILY
DPPULP;DEADPOOL PULP
DPTU;DEADPOOL TEAM-UP
DPTU2;DEADPOOL TEAM-UP VOL. 2
DR:CABAL;DARK REIGN: CABAL
DR:EL;DARK REIGN: ELEKTRA
DR:FF;DARK REIGN: FANTASTIC FOUR
DR:GL;DARK REIGN: GOBLIN LEGACY
DR:HAWK;DARK REIGN: HAWKEYE
DR:HOOD;DARK REIGN: HOOD
DR:LL;DARK REIGN: LETHAL LEGION
DR:MM;DARK REIGN: MADE MEN
DR:MN;DARK REIGN: MR. NEGATIVE
DR:NN;DARK REIGN: NEW NATION
DR:SINSM;DARK REIGN: SINISTER SPIDER-MAN
DR:YA;DARK REIGN: YOUNG AVENGERS
DR:Z;DARK REIGN: ZODIAC
DRAFT;DRAFT
DRAX;DRAX
DRAXD;DRAX THE DESTROYER
DRL:A;DARK REIGN LIST: AVENGERS
DRL:ASM;DARK REIGN LIST: AMAZING SPIDER-MAN
DRL:DD;DARK REIGN LIST: DAREDEVIL
DRL:H;DARK REIGN LIST: HULK
DRL:P;DARK REIGN LIST: PUNISHER
DRL:SECWARR;DARK REIGN LIST: SECRET WARRIORS
DRL:W;DARK REIGN LIST: WOLVERINE
DRL:X;DARK REIGN LIST: X-MEN
DRSP;DOCTOR SPECTRUM
DRUID;DRUID
DRV;DOCTOR VOODOO: AVENGER OF THE SUPERNATURAL
DRV:OJD;DOCTOR VOODOO: ORIGIN OF JERICHO DRUMM
DS;DOCTOR STRANGE
DS2;DOCTOR STRANGE VOL. 2 (MASTER OF THE MYSTIC ARTS)
DS3;DOCTOR STRANGE VOL. 3 (FLIGHT OF BONES)
DS:OATH;DOCTOR STRANGE: OATH
DS:WDS;DR. STRANGE: WHAT IS IT THAT DISTURBS YOU, STEPHEN?
DSSS;DOCTOR STRANGE, SORCEROR SUPREME
DSTAR&WG;DARKSTAR & THE WINTER GUARD
DW;DARK WOLVERINE
DWDEMONS;DANCES WITH DEMONS
DWHOMAG;DOCTOR WHO MAGAZINE
DWRECK;DEATH WRECK
DX;DARK X-MEN
DX:B;DARK X-MEN: BEGINNING
DX:C;DARK X-MEN: CONFESSION
E;ETERNALS
E2;ETERNALS VOL. 2
E3;ETERNALS VOL. 3
E4;ETERNALS VOL. 4
E:AN;ETERNALS: APOCALYPSE NOW
E:HEROD;ETERNALS: HEROD FACTOR
EAGLE;EAGLE
EARX;EARTH X
EARX X;EARTH X X
EARXC;EARTH X COLLECTION
EFROST;EMMA FROST
EHAGE;ENTER THE HEROIC AGE
EL;ELEKTRA
EL2;ELEKTRA VOL. 2
EL&W:R;ELEKTRA & WOLVERINE: REDEEMER
EL/CYBLADE;ELEKTRA/CYBLADE
EL:A;ELEKTRA: ASSASSIN
EL:G&E;ELEKTRA: GLIMPSE & ECHO
EL:HAND;ELEKTRA: HAND
EL:ROE;ELEKTRA: ROOT OF EVIL
ELIM;ELIMINATOR
ELVEN;ELVEN
EPICI;EPIC ILLUSTRATED (MAGAZINE)
EPICGN:PRBN;EPIC GRAPHIC NOVEL: PUNISHER: RETURN TO BIG NOTHING
EUR;EUROPA
EX;EXILES
EX2;EXILES VOL. 2
EX3;EXILES VOL. 3
EX ∞;EXILES ∞
EX:DTN;EXILES: DAYS OF THEN AND NOW
F;FURY
F2;FURY VOL. 2
F.F.;FF
F.F.2;FF VOL. 2
F/AGENT13;FURY/AGENT 13
F/BW:DD;FURY/BLACK WIDOW: DEATH DUTY
F:PM;FURY: PEACEMAKER
FACY&PHX;FURTHER ADVENTURES OF CYCLOPS & PHOENIX
FAL;FALCON
FANGELS;FALLEN ANGELS
FARM;FIREARM
FC;FRANKEN-CASTLE
FCBD09:A;FREE COMIC BOOK DAY 2009: AVENGERS
FCBD09:W;FREE COMIC BOOK DAY 2009: WOLVERINE
FCBD10:IM/T;FREE COMIC BOOK DAY 2010: IRON MAN/THOR
FF;FANTASTIC FOUR
FF2;FANTASTIC FOUR VOL. 2
FF3;FANTASTIC FOUR VOL. 3
FF4;FANTASTIC FOUR VOL. 4
FF5;FANTASTIC FOUR VOL. 5
FF SPEC;FANTASTIC FOUR SPECIAL
FF&PP;FANTASTIC FOUR & POWER PACK
FF/FF;FANTASTIC FOUR/FANTASTIC FOUR
FF/IM:BIJ;FANTASTIC FOUR/IRON MAN: BIG IN JAPAN
FF:AR;FANTASTIC FOUR: ATLANTIS RISING
FF:DEATH;FANTASTIC FOUR: DEATH IN THE FAMILY
